author,rating,date,text,source_url
,9.0,Ocena dodana: 5 maja 2026,"Не большой,но уютный номер. Люблю бесконтактный доступ в номер, и он тут есть. В номере очень чисто, есть все необходимое и с запасом. Очень удобное месторасположение. Узкие коридоры, особенно подъем на лестницу. Несколько раз ударился головой об него, благо был в велосипедном шлеме 😄 Пульт от кондиционера мы так и не нашли, пришлось открыть окна, но из-за этого посреди ночи нас разбудили пьяные голоса людей из соседнего двора. Вайфай плохой. Часто теряется сигнал полностью.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 4 maja 2026,"L'emplacement, la literie de qualité Wi fi ne fonctionne pas bien",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 30 kwietnia 2026,La atención y flexibilidad de Julia fueron excelentes WiFi podría ser mejor,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,9.0,Ocena dodana: 26 kwietnia 2026,Nádherná lokalita. Kódy ke vstupu.,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 26 kwietnia 2026,Ήταν ένα σύγχρονο και πλήρως ανακαινισμένο κατάλυμα με όλες τις ανέσεις!! Η τοποθεσία του ήταν φοβερή δίπλα στο κάστρο Wawell και πολυ κοντά στην παλιά πόλη και στην Εβραϊκή συνοικία!! Ήταν όλα τέλεια!!θα μπορούσε να έχει μια καφετέρια στις παροχές!!,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 25 kwietnia 2026,"Me encantó lo limpio que estaba todo, lo organizado y la buena atención del personal, la verdad experiencia de 10! Muy buena ubicación.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 19 kwietnia 2026,"Otroligt bra läge, skön säng, rent och trevlig. Smidig incheckning med kodlås. Väldigt lyhört. Hörde tydligt vad grannarna gjorde så rekommenderar inte att ta med barn till boendet.",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 17 kwietnia 2026,"Η διαμονή μας στο NEXT TO Royal Castle Elephant Apartments ήταν υποδειγματική και ξεπέρασε τις προσδοκίες μας. ​Εξυπηρέτηση & Επικοινωνία: Αυτό που μας εντυπωσίασε περισσότερο ήταν η εξυπηρέτηση. Υπήρχε άμεση επικοινωνία 💬 για ό,τι χρειαστήκαμε, με γρήγορες και σαφείς απαντήσεις που έκαναν τη διαμονή μας απόλυτα άνετη και ξέγνοιαστη. Είναι επαγγελματίες που νοιάζονται για τον επισκέπτη. ​Τοποθεσία: Η τοποθεσία είναι απλά ασυναγώνιστη. Το διαμέρισμα βρίσκεται κυριολεκτικά δίπλα στο Κάστρο Wawel 🏰, επιτρέποντάς μας να εξερευνήσουμε όλη την παλιά πόλη και την εβραϊκή συνοικία Kazimierz με τα πόδια 🚶‍♂️. ​Καθαριότητα & Χώρος: Ο χώρος ήταν πεντακάθαρος 🧼, μοντέρνος και πολύ καλαίσθητος. Το διαμέρισμα είναι πλήρως εξοπλισμένο ☕, προσφέροντας όλες τις ανέσεις που χρειάζεται ένας ταξιδιώτης. ​Σίγουρα θα το ξαναπροτιμήσουμε στην επόμενη επίσκεψή μας στην Κρακοβία! ✅""",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 12 kwietnia 2026,"Ubicación , limpieza . Apartamento totalmente reformado con lo justo para poder cocinar. Se oye absolutamente todo lo que ocurre en las habitaciones . Cuando digo todo, es todo 😆 El wifi funciona mal .",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 10 kwietnia 2026,"Todo, la ubicación, los dueños... Todo fue estupendo",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,8.0,Ocena dodana: 6 kwietnia 2026,Posizione pulizia Letto da una piazza e mezzo,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 6 kwietnia 2026,Muy Buena ubicación y muy limpio Excelente calidad precio El olor del apartamento nos gustó mucho,https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
,10.0,Ocena dodana: 26 marca 2026,"Posizione molto vicina al centro, pulizia, camera spaziosa e silenziosa",https://www.booking.com/hotel/pl/next-to-royal-castle.pl.html?chal_t=1782208303921&force_referer=#tab-reviews
